experiment,Date,Time,Months,Ring,Plot,Rep,Mesh,Trt,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt1,2014-11-12,18,17.9,R2,2,2,2mm,ambient,2.04,0,0,0
expt1,2014-11-12,18,17.9,R2,3,1,2mm,ambient,2.04,0.13,0.06372549019607843,0.2552001507848821
expt1,2014-11-12,18,17.9,R2,3,2,2mm,ambient,2.02,0,0,0
expt1,2014-11-12,18,17.9,R2,4,1,2mm,ambient,2.02,0.11,0.054455445544554455,0.23552847853603628
expt1,2014-11-12,18,17.9,R2,4,2,2mm,ambient,2.03,0.07,0.03448275862068966,0.18677946108159363
expt1,2014-11-12,18,17.9,R3,1,1,2mm,ambient,2.07,0.73,0.3526570048309179,0.6358347131371077
expt1,2014-11-12,18,17.9,R3,1,2,2mm,ambient,2.08,0.24,0.11538461538461538,0.3465799537883769
expt1,2014-11-12,18,17.9,R3,2,1,2mm,ambient,2.03,0.45,0.22167487684729067,0.4902241093912837
expt1,2014-11-12,18,17.9,R3,2,2,2mm,ambient,2.03,0,0,0
expt1,2014-11-12,18,17.9,R3,3,1,2mm,ambient,2.04,0.65,0.31862745098039214,0.599792189578479
expt1,2014-11-12,18,17.9,R3,3,2,2mm,ambient,2.09,0.6,0.28708133971291866,0.5654546108082991
expt1,2014-11-12,18,17.9,R3,4,1,2mm,ambient,2.03,0.4,0.1970443349753695,0.45994269909588315
expt1,2014-11-12,18,17.9,R3,4,2,2mm,ambient,2.06,0.53,0.25728155339805825,0.5319667529754916
expt1,2014-11-12,18,17.9,R4,1,1,2mm,elevated,2.01,0,0,0
expt1,2014-11-12,18,17.9,R4,1,2,2mm,elevated,2.06,0.01,0.0048543689320388345,0.06972979490944202
expt1,2014-11-12,18,17.9,R4,2,1,2mm,elevated,2.05,0,0,0
expt1,2014-11-12,18,17.9,R4,2,2,2mm,elevated,2.07,0,0,0
expt1,2014-11-12,18,17.9,R4,3,1,2mm,elevated,2.06,0.02,0.009708737864077669,0.09869306683877115
expt1,2014-11-12,18,17.9,R4,3,2,2mm,elevated,2.06,0.16,0.07766990291262135,0.28243313486294463
expt1,2014-11-12,18,17.9,R4,4,1,2mm,elevated,2.02,0,0,0
