experiment,Date,Time,Months,Ring,Plot,Trt,prevTrt,psyllid,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt2,2017-12-18,4,3.8,R5,3,elevated,aCO2,noPsyl,1.99,1.73,0.8693467336683417,1.2009631321770928
expt2,2017-12-18,4,3.8,R5,3,elevated,aCO2,Psyl,1.94,1.35,0.6958762886597939,0.9866659889898978
expt2,2017-12-18,4,3.8,R5,3,elevated,eCO2,noPsyl,2.02,1.62,0.801980198019802,1.109628587792846
expt2,2017-12-18,4,3.8,R5,3,elevated,eCO2,Psyl,2.02,1.5,0.7425742574257426,1.0386646640143555
expt2,2017-12-18,4,3.8,R5,4,elevated,aCO2,noPsyl,1.95,1.49,0.7641025641025642,1.0636408443654988
expt2,2017-12-18,4,3.8,R5,4,elevated,aCO2,Psyl,1.9,1.46,0.768421052631579,1.0687429854852164
expt2,2017-12-18,4,3.8,R5,4,elevated,eCO2,noPsyl,2.08,1.59,0.764423076923077,1.0640183991904864
expt2,2017-12-18,4,3.8,R5,4,elevated,eCO2,Psyl,1.92,1.46,0.7604166666666666,1.059311588880923
expt2,2017-12-18,4,3.8,R6,1,ambient,aCO2,noPsyl,2.05,1.43,0.6975609756097562,0.9884984638073153
expt2,2017-12-18,4,3.8,R6,1,ambient,aCO2,Psyl,2,1.49,0.745,1.041443039864522
expt2,2017-12-18,4,3.8,R6,1,ambient,eCO2,noPsyl,2,1.63,0.815,1.1261747691790067
expt2,2017-12-18,4,3.8,R6,1,ambient,eCO2,Psyl,1.99,1.57,0.7889447236180905,1.093468272653239
expt2,2017-12-18,4,3.8,R6,2,ambient,aCO2,noPsyl,2,1.69,0.845,1.1661426897712648
expt2,2017-12-18,4,3.8,R6,2,ambient,aCO2,Psyl,1.91,1.53,0.8010471204188482,1.108458907263626
expt2,2017-12-18,4,3.8,R6,2,ambient,eCO2,noPsyl,2.04,1.52,0.7450980392156863,1.0415555130686325
expt2,2017-12-18,4,3.8,R6,2,ambient,eCO2,Psyl,1.93,1.49,0.772020725388601,1.0730213035811316
expt2,2017-12-18,4,3.8,R6,3,ambient,aCO2,noPsyl,1.97,1.48,0.751269035532995,1.0486641511434873
expt2,2017-12-18,4,3.8,R6,3,ambient,aCO2,Psyl,1.98,1.42,0.7171717171717171,1.0100527816183278
expt2,2017-12-18,4,3.8,R6,3,ambient,eCO2,noPsyl,1.95,1.54,0.7897435897435898,1.0944478172883922
expt2,2017-12-18,4,3.8,R6,3,ambient,eCO2,Psyl,1.98,1.58,0.797979797979798,1.1046282192683705
expt2,2017-12-18,4,3.8,R6,4,ambient,aCO2,noPsyl,2,1.52,0.76,1.0588236387454202
expt2,2017-12-18,4,3.8,R6,4,ambient,aCO2,Psyl,2.03,1.68,0.8275862068965518,1.142603571212956
expt2,2017-12-18,4,3.8,R6,4,ambient,eCO2,noPsyl,2.03,1.57,0.7733990147783252,1.0746657220406777
expt2,2017-12-18,4,3.8,R6,4,ambient,eCO2,Psyl,1.93,1.48,0.766839378238342,1.066870485645294
expt2,2018-04-26,8,8,R1,1,elevated,aCO2,noPsyl,2.013,1.37,0.6805762543467463,0.9701499250906189
expt2,2018-04-26,8,8,R1,1,elevated,aCO2,Psyl,1.92,1.16,0.6041666666666666,0.890333459528817
expt2,2018-04-26,8,8,R1,1,elevated,eCO2,noPsyl,2.017,1.32,0.6544372830937036,0.9424029189689141
expt2,2018-04-26,8,8,R1,1,elevated,eCO2,Psyl,1.957,1.47,0.7511497189575881,1.0485261529875105
expt2,2018-04-26,8,8,R1,2,elevated,aCO2,noPsyl,2.027,1.42,0.7005426739023186,0.991748845428816
expt2,2018-04-26,8,8,R1,2,elevated,aCO2,Psyl,2.018,1.39,0.688800792864222,0.979000540867032
expt2,2018-04-26,8,8,R1,2,elevated,eCO2,noPsyl,1.95,1.43,0.7333333333333333,1.0281572245452437
expt2,2018-04-26,8,8,R1,2,elevated,eCO2,Psyl,1.992,1.42,0.7128514056224899,1.0052673875921976
expt2,2018-04-26,8,8,R1,3,elevated,aCO2,noPsyl,1.966,1.25,0.6358087487283826,0.9229348214310832
expt2,2018-04-26,8,8,R1,3,elevated,aCO2,Psyl,1.993,1.1,0.5519317611640743,0.8374237508677107
expt2,2018-04-26,8,8,R1,3,elevated,eCO2,noPsyl,1.95,1.24,0.6358974358974359,0.9230269754097566
expt2,2018-04-26,8,8,R1,3,elevated,eCO2,Psyl,2.005,1.33,0.6633416458852869,0.9517942584019233
expt2,2018-04-26,8,8,R1,4,elevated,aCO2,noPsyl,1.985,1.8,0.906801007556675,1.2605585188923027
expt2,2018-04-26,8,8,R1,4,elevated,aCO2,Psyl,1.958,1.26,0.6435137895812053,0.9309593641679713
expt2,2018-04-26,8,8,R1,4,elevated,eCO2,noPsyl,2.028,1.37,0.6755424063116371,0.964762870815877
expt2,2018-04-26,8,8,R1,4,elevated,eCO2,Psyl,1.988,1.3,0.653923541247485,0.9418628597154767
expt2,2018-04-26,8,8,R2,1,ambient,aCO2,noPsyl,1.95,1.24,0.6358974358974359,0.9230269754097566
expt2,2018-04-26,8,8,R2,1,ambient,aCO2,Psyl,2,1.26,0.63,0.9169092648516828
expt2,2018-04-26,8,8,R2,1,ambient,eCO2,noPsyl,1.917,1.22,0.6364110589462701,0.923560770609573
expt2,2018-04-26,8,8,R2,1,ambient,eCO2,Psyl,2.079,1.44,0.6926406926406925,0.9831545278810497
